0	zero
1	u, un, una
2	dos, dues
3	tres
4	quatre
5	cinc
6	sis
7	set
8	huit, vuit
9	nou
10	deu
11	onze
12	dotze
13	tretze
14	catorze
15	quinze
16	setze
17	dèsset, disset
18	dihuit, divuit
19	dènou, dinou
20	vint
21	vint-i-u, vint-i-un, vint-i-una
22	vint-i-dos, vint-i-dues
23	vint-i-tres
24	vint-i-quatre
25	vint-i-cinc
26	vint-i-sis
27	vint-i-set
28	vint-i-huit, vint-i-vuit
29	vint-i-nou
30	trenta
31	trenta-u, trenta-un, trenta-una
32	trenta-dos, trenta-dues
33	trenta-tres
34	trenta-quatre
35	trenta-cinc
36	trenta-sis
37	trenta-set
38	trenta-huit, trenta-vuit
39	trenta-nou
40	quaranta
41	quaranta-u, quaranta-un, quaranta-una
42	quaranta-dos, quaranta-dues
43	quaranta-tres
44	quaranta-quatre
45	quaranta-cinc
46	quaranta-sis
47	quaranta-set
48	quaranta-huit, quaranta-vuit
49	quaranta-nou
50	cinquanta
51	cinquanta-u, cinquanta-un, cinquanta-una
52	cinquanta-dos, cinquanta-dues
53	cinquanta-tres
54	cinquanta-quatre
55	cinquanta-cinc
56	cinquanta-sis
57	cinquanta-set
58	cinquanta-huit, cinquanta-vuit
59	cinquanta-nou
60	seixanta
61	seixanta-u, seixanta-un, seixanta-una
62	seixanta-dos, seixanta-dues
63	seixanta-tres
64	seixanta-quatre
65	seixanta-cinc
66	seixanta-sis
67	seixanta-set
68	seixanta-huit, seixanta-vuit
69	seixanta-nou
70	setanta
71	setanta-u, setanta-un, setanta-una
72	setanta-dos, setanta-dues
73	setanta-tres
74	setanta-quatre
75	setanta-cinc
76	setanta-sis
77	setanta-set
78	setanta-huit, setanta-vuit
79	setanta-nou
80	huitanta, vuitanta
81	huitanta-u, huitanta-un, huitanta-una, vuitanta-u, vuitanta-un, vuitanta-una
82	huitanta-dos, huitanta-dues, vuitanta-dos, vuitanta-dues
83	huitanta-tres, vuitanta-tres
84	huitanta-quatre, vuitanta-quatre
85	huitanta-cinc, vuitanta-cinc
86	huitanta-sis, vuitanta-sis
87	huitanta-set, vuitanta-set
88	huitanta-huit, vuitanta-vuit
89	huitanta-nou, vuitanta-nou
90	noranta
91	noranta-u, noranta-un, noranta-una
92	noranta-dos
93	noranta-tres
94	noranta-quatre
95	noranta-cinc
96	noranta-sis
97  noranta-set
98	noranta-huit, noranta-vuit
99	noranta-nou
100	cent
1000	mil
10000	deu mil
100000	cent mil
1000000	un milió
10000000	deu milions
100000000	cent milions
1000000000	un miliard, mil milions
10000000000	deu miliards, deu mil milions
100000000000	cent miliards, cent mil milions
